ネガ単語,スコア
恐ろしい,0.963112
殺し,0.963112
殺さ,0.963112
死ん,0.963112
恨み,0.949208
殺す,0.934858
不幸,0.934186
酷い,0.933306
残忍,0.933111
愚か,0.922201
後悔,0.912026
むごい,0.910941
苦痛,0.908292
悲惨,0.908152
醜い,0.907627
侮辱,0.905788
責める,0.903232
怒っ,0.90183
怯え,0.901404
死ぬ,0.90138
恨ん,0.89427
罪悪,0.89226
殺める,0.891348
怒り,0.890765
罵ら,0.889343
可哀想,0.886624
恐れる,0.88462
責め立てる,0.884209
憎む,0.883269
仕打ち,0.881359
苦悩,0.880686
嫉妬,0.876311
理不尽,0.871535
冷酷,0.871413
死な,0.868129
後ろめたい,0.868015
哀れ,0.866726
発狂,0.864481
苦しみ,0.86192
悲しい,0.860786
傲慢,0.860231
嫌悪,0.859887
卑劣,0.859869
やり場,0.859351
憎しみ,0.857914
虐待,0.856431
のけ者,0.853042
辱める,0.852447
復讐,0.852168
罵る,0.851896
怒る,0.851082
言い聞かせる,0.849387
憎悪,0.849246
不愉快,0.848836
憎ん,0.846155
独りぼっち,0.845611
忌まわしい,0.84489
嘆く,0.844279
容赦,0.842006
我がまま,0.841802
虐げる,0.841415
罵倒,0.841218
臆病者,0.841054
取り乱す,0.841041
激怒,0.840457
殴ら,0.840315
恨む,0.839698
軽蔑,0.839663
苦しむ,0.838603
自暴自棄,0.837223
虐め,0.837204
折檻,0.83611
惨殺,0.835915
犯し,0.835646
病ん,0.8351
叱りつける,0.834554
悪口,0.834543
おびえる,0.833287
惨め,0.833268
傷つける,0.833207
ひどく,0.833175
悔やむ,0.832618
口答え,0.832398
死に神,0.831378
悲しみ,0.831013
悪い,0.830791
乱暴,0.829642
裏切り者,0.82939
汚らわしい,0.829159
裏切ら,0.828745
殺せ,0.828481
不貞,0.827917
耐え忍ぶ,0.82694
同情,0.826399
憎み,0.825082
残虐,0.825017
おぞましい,0.82443
馬鹿,0.823528
叱責,0.823297
愚かしい,0.822487
迫害,0.822252
嘘,0.821963
残酷,0.821685
言い返す,0.820887
悔いる,0.820706
濡れ衣,0.820157
自尊心,0.820067
人殺し,0.819788
降りかかる,0.819456
偽善,0.818414
犯さ,0.818003
病気,0.817299
憤り,0.81706
瀕死,0.815832
罪業,0.815801
絶望,0.81529
苛烈,0.815057
自棄,0.814995
恥,0.814772
憎まれ口,0.81457
見殺し,0.814076
非道,0.813915
中傷,0.813217
レイプ,0.812831
仕返し,0.81162
罪,0.81128
罵っ,0.811245
激昂,0.81124
思い上がり,0.810793
堕落,0.810747
庇う,0.810124
嫌い,0.809727
忍従,0.809215
凄惨,0.808484
皆殺し,0.808468
弱っ,0.808148
かわいそう,0.807534
耐えがたい,0.807422
紛らわせる,0.80728
信じ込む,0.807206
苛ま,0.806251
嫌わ,0.806165
我慢,0.806003
いじめ,0.805777
境遇,0.805577
粗暴,0.805292
妬み,0.804307
傷付ける,0.803794
逃げ出し,0.803386
憤慨,0.803383
横暴,0.8033
恥辱,0.802154
逃げ出す,0.801945
気絶,0.801825
憐憫,0.801485
うろたえる,0.801449
赤ん坊,0.801368
卑屈,0.800756
あざけり,0.800183
自殺,0.799873
逆上,0.79978
心配,0.799748
凶暴,0.799642
罪人,0.799065
卑怯,0.798863
撃ち殺し,0.798057
反抗,0.797743
無神経,0.797607
覚悟,0.796238
裏切り,0.795795
失望,0.795739
犯す,0.795688
気の毒,0.795358
暴力,0.795089
すすり泣く,0.794944
恐怖,0.794316
傷つき,0.794264
苦しん,0.793762
貧し,0.793588
殺害,0.792852
悪気,0.79186
もてあそぶ,0.791694
