単語,感情値
悪化,-0.213031021
言い返す,-0.346393882
言いなり,-0.276817233
言い訳,-0.309921505
弁解,-0.30009888
申し訳,-0.317227543
釈明,-0.256702499
怒り,-0.350795921
激怒,-0.343213612
憤り,-0.324555649
憤激,-0.269065287
憤怒,-0.265246162
憤慨,-0.324270501
痛み,-0.283562157
悲嘆,-0.309402267
悲哀,-0.283372778
痛む,-0.274821246
痛める,-0.293036536
苦しむ,-0.332427881
嫌がらせ,-0.287224825
うとうと,-0.310064801
追いやる,-0.243928222
追い出す,-0.259383816
放り出す,-0.282060059
犯す,-0.29192547
恐れる,-0.34480115
案ずる,-0.297932827
落ち込む,-0.239258654
落ちる,-0.275351206
過酷,-0.274813997
我慢,-0.335305973
棄権,-0.164683602
リタイア,-0.180279601
きつい,-0.250423652
虐待,-0.277151098
脅迫,-0.253894338
恐怖,-0.288047993
食う,-0.290702469
食らう,-0.287576644
喫する,-0.211211341
馬鹿,-0.346370433
愚劣,-0.277803982
口答え,-0.345537798
悔やむ,-0.334395679
悔いる,-0.319512011
恨む,-0.334449588
被る,-0.213899734
刑務所,-0.19186433
欠陥,-0.204877496
結局,-0.228511199
挙句,-0.298922769
挙げ句,-0.260744025
行為,-0.243184705
後悔,-0.367691907
殺す,-0.341896744
刺す,-0.263956986
最悪,-0.266049777
差別,-0.200562873
強いる,-0.25767057
死亡,-0.200602998
絶命,-0.272216495
借金,-0.24851798
借財,-0.201005507
傷害,-0.177485257
しょっちゅう,-0.282853318
深刻,-0.253185877
生死,-0.229580256
セクハラ,-0.264135175
責める,-0.371244423
退場,-0.220204271
体罰,-0.260338906
逮捕,-0.204888586
黙る,-0.296150603
罪,-0.269007292
悪行,-0.275038973
非行,-0.228173108
長引く,-0.212353535
滞る,-0.182159191
嘆く,-0.364743126
憎む,-0.338740954
寝たきり,-0.246878129
激しい,-0.252274998
恥,-0.324273438
恥辱,-0.305424977
汚名,-0.261606303
不名誉,-0.292652523
汚辱,-0.219528875
不評,-0.244779557
ばれる,-0.273031163
反抗,-0.292229055
抵抗,-0.175257852
反則,-0.210250499
違反,-0.181254604
犯罪,-0.205396173
侵害,-0.178766724
違背,-0.203504496
悪業,-0.252998126
引き起こす,-0.217144359
悲惨,-0.346378871
心配,-0.325064855
憂慮,-0.227287552
おそれ,-0.251229138
不快,-0.300522668
不愉快,-0.34973822
不潔,-0.281048609
猥褻,-0.219704431
不公平,-0.2690062
不平等,-0.192801812
不注意,-0.247388941
不満,-0.273672495
不利,-0.244552271
平気,-0.322849898
乱暴,-0.322015294
暴力,-0.267575114
醜い,-0.364498352
見逃す,-0.258526426
見過ごす,-0.257309889
見落とす,-0.213784623
無視,-0.249948416
無神経,-0.32671254
レッテル,-0.272164086
わざと,-0.322697512
起因,-0.189630796
引き金,-0.168800122
原因,-0.230472681
病気,-0.28030031
危険,-0.257427387
物騒,-0.268887262
死ぬ,-0.333155886
厳しい,-0.301776378
裁判,-0.193634509
判決,-0.181112387
刑罰,-0.249511367
批判,-0.248898219
重い,-0.242546527
避ける,-0.196443112
逃れる,-0.257660019
痛い,-0.328833422
トラブル,-0.213553538
問題,-0.188405189
苦しい,-0.318978453
陥る,-0.250991123
詰まる,-0.24359257
自害,-0.257045059
自決,-0.18107569
自殺,-0.271701387
恐ろしい,-0.370854253
倒れる,-0.279804338
覚悟,-0.32018743
