悪化,増悪,退転,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
言い返す,抗弁する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
言いなり,いいなり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
言い訳,弁解,申し訳,言訳,弁疏,言分け,釈明,弁明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
怒り,激怒,憤り,憤激,憤怒,憤慨,激憤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
痛み,悲しみ,悲嘆,悲哀,傷心,哀傷,愁傷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
痛む,痛める,苦しむ,損なう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嫌がらせ,いやがらせ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
うとうと,ウトウト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
追いやる,追い出す,放り出す,追い立てる,追い払う,打ち払う,たたき出す,弾き出す,払い出す,叩き出す,追いたてる,追立てる,追っ払う,討払う,弾出す,撃払う,除する,追っ立てる,追い散らす,追い遣る,ほうりだす,打ちはらう,追っぱらう,遣らう,撃ち払う,去なす,打払う,追いちらす,討ち払う,追い散す,追いはらう,いぶり出す,,,,,,,,,,,,
犯す,働く,仕出来す,仕出かす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
恐れる,畏れる,憂える,案ずる,危ぶむ,怖れる,びくつく,不安がる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
落ち込む,落ちる,下がる,下る,落っこちる,落る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
過酷,シビア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我慢,辛抱,忍耐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
棄権,リタイア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厳しい,きつい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虐待,虐遇,酷遇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
脅迫,きょーはく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
恐怖,畏怖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馬鹿,間抜け,ばか,愚鈍,阿呆,愚劣,阿房,あほう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
口答え,口ごたえ,,,,,,,愚純,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
悔やむ,悔いる,思い残す,恨む,惜しむ,怨む,憾む,悔む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
